propId,address,bedrooms,bed_string,bathrooms,bath_string
1655-115708,350 Lake Ave Tahoe City CA,4,"4 Queen, 1 Twin, 2 Full",3,3
1655-102094,16494 Fawn Street Truckee CA,3,"1 King, 2 Queen, 2 Sofa Bed",2.5,2.5
1655-115911,5585 Sahara Drive Carnelian Bay CA,4,"3 Queen, 2 Twin",2,2
1655-113112,"11796 Euer Valley Road, Studio Truckee CA",{},"1 Queen, 1 Twin",1,1
1655-106170,155 Simplon Pass Road Homewood CA,3,"1 Queen, 6 Twin, 2 Bunk",2.5,2.5
1655-123901,13276 Ski View Loop Truckee CA,5,"1 King, 3 Queen, 4 Twin, 2 Bunk",3.5,3.5
1655-112911,13974 Gyrfalcon St Truckee CA,4,"1 King, 1 Queen, 2 Twin, 1 Other",2,2
1655-122571,2670 Cedar Ln Tahoe City CA,3,3 Queen,2,2
1655-123636,46 Tahoma Avenue Tahoe City CA,4,"2 King, 1 Queen, 6 Twin",3.5,3.5
1655-115478,14422 Davos Dr Truckee CA,3,"2 Queen, 2 Twin, 2 Bunk, 2 Full",2,2
1655-104910,12409 Viking Way Truckee CA,4,"4 Queen, 2 Sofa Bed",3,3
1655-122536,12120 Muhlebach Way Truckee CA,3,"1 King, 1 Queen, 1 Twin",2,2
1655-109742,14559 South Shore Drive Truckee CA,2,"4 Queen, 1 Twin",1.5,1.5
1655-122363,400 Squaw Creek Road #560-558 Olympic Valley CA,2,"2 King, 1 Sofa Bed",2,2
1655-109346,5295 N Lake Boulevard Carnelian Bay CA,2,"1 King, 1 Queen, 1 Sofa Bed",1.5,1.5
1655-112615,13985 Northwoods Blvd Truckee CA,3,"1 King, 1 Queen, 1 Twin, 1 Bunk, 1 Full",2,2
1655-105263,11467 Lausanne Truckee CA,3,"1 King, 1 Queen, 4 Twin, 1 Sofa Bed, 2 Bunk",2,2
1655-117206,11030 Palisades Drive Truckee CA,3,"1 King, 2 Queen, 1 Sofa Bed",2,2
1655-120621,14601 Tyrol Road Truckee CA,4,"1 King, 2 Queen, 4 Twin",3.5,3.5
1655-107714,570 Sunrise Avenue Tahoma CA,4,"2 King, 1 Queen, 1 Twin, 1 Sofa Bed",4.5,4.5
1655-124314,11755 St Bernard Dr Truckee CA,5,"1 King, 2 Queen, 4 Bunk",3.5,3.5
1655-115435,13425 Skislope Way Truckee CA,4,"1 King, 2 Queen, 4 Twin, 2 Bunk",3.5,3.5
1655-105738,4115 Coyote Fork Road Truckee CA,1,"1 King, 2 Sofa Bed",1,1
1655-117508,3150 Aspen Grove Truckee CA,{},"1 Queen, 1 Sofa Bed",1,1
1655-123562,7160 7th Avenue Tahoma CA,3,"1 King, 1 Queen, 2 Twin, 1 Sofa Bed, 1 Bunk, 2 Full",2,2
1655-115926,125 Tahoma Tahoe City CA,4,"2 King, 1 Queen, 4 Twin, 2 Bunk",4,4
1655-123271,11554 Oslo Drive Truckee CA,3,"1 King, 1 Queen, 2 Twin, 1 Full",3,3
1655-127517,395 Pineland Drive Tahoe City CA,3,"2 Queen, 1 Full",2,2
1655-115993,12485 Hillside Drive Truckee CA,3,"1 King, 2 Queen, 2 Twin",4,4
1655-120906,4930 West Lake Blvd Homewood CA,7,"3 King, 8 Twin",4,4
1655-120039,11673 Skislope Way Truckee CA,3,"2 Queen, 1 Twin, 1 Bunk, 1 Full",2.5,2.5
1655-116469,7064 6th Ave Tahoma CA,5,"1 King, 2 Queen, 2 Twin, 1 Sofa Bed, 2 Full",3,3
1655-104428,135 Cherry Street Homewood CA,2,"1 King, 1 Twin, 1 Full",1,1
1655-131046,12345 Bernese Ln Truckee CA,3,"1 King, 1 Queen, 1 Bunk",3,3
1655-107947,9269 Heartwood Dr Truckee CA,3,"1 King, 1 Queen, 4 Twin",3.5,3.5
1655-112646,10211 Washoe Rd Truckee CA,3,"2 Queen, 4 Twin, 1 Other",2,2
1655-112930,8715 Trout Ave Kings Beach CA,3,"3 Queen, 1 Sofa Bed, 1 Other",2.5,2.5
1655-119222,11691 Snowpeak Way 554 Truckee CA,2,"1 Queen, 2 Twin, 1 Sofa Bed",2,2
1655-109752,597 Sugarpine Incline Village NV,4,"1 King, 2 Queen, 2 Twin, 2 Sofa Bed",2.5,2.5
1655-107693,144 Chipmunk Street # 214 Kings Beach CA,3,"1 King, 1 Queen, 1 Twin, 1 Bunk, 1 Full",2.5,2.5
1655-109228,15360 Wolfgang Road Truckee CA,3,"2 Queen, 4 Twin, 1 Other",2,2
1655-106603,12846 Hansel Ave Truckee CA,3,"2 Queen, 4 Twin, 1 Sofa Bed",3,3
1655-125563,11917 Chalet Drive Truckee CA,3,"2 Queen, 1 Twin, 1 Bunk, 1 Full",2,2
1655-122470,400 Squaw Creek Road #558 Olympic Valley CA,1,1 King,1,1
1655-103797,1692 Sandy Way Olympic Valley CA,2,"1 King, 3 Twin, 1 Full",1.5,1.5
1655-104343,12741 Stockholm Way Truckee CA,4,"1 King, 3 Queen, 2 Full",4,4
1655-104342,415 Squaw Peak Rd #9 Olympic Valley CA,2,"1 King, 1 Queen, 1 Other",2,2
1655-108736,7311 7th Avenue Tahoma CA,3,"1 King, 2 Queen, 1 Twin, 1 Bunk",2.5,2.5
1655-110296,10190 Meadow Way Truckee CA,1,"1 Sofa Bed, 1 Full",1,1
1655-128137,12671 St Moritz Ln Truckee CA,4,"1 King, 1 Queen, 4 Twin, 1 Other",2.5,2.5
1655-119925,573 Rockrose Ct Incline Village NV,5,"2 King, 2 Twin, 2 Full",3.5,3.5
1655-119940,4040 Madrone Homewood CA,3,"2 King, 4 Twin, 1 Sofa Bed",2,2
1655-113270,15611 Northwoods Blvd Truckee CA,3,"1 King, 1 Queen, 1 Full",2,2
