propId,address,bedrooms,bed_string,bathrooms,bath_string
1655-107957,1425 Iroquois Circle South Lake Tahoe CA,3,"1 King, 1 Queen, 1 Twin, 1 Sofa Bed, 1 Bunk, 1 Full",2,2
1655-116212,163 South Benjamin Stateline NV,5,"3 King, 1 Queen, 3 Twin, 1 Full",5,5
1655-115547,1135 Acoma Circle South Lake Tahoe CA,4,"2 King, 2 Queen, 2 Twin, 1 Sofa Bed, 1 Bunk, 1 Other",2.5,2.5
1655-105489,2905 Snowflake Drive South Lake Tahoe CA,5,"4 Queen, 2 Twin, 1 Bunk, 1 Full",4,4
1655-128846,460 Quaking Aspen Ln Unit A Stateline NV,7,"4 King, 3 Queen, 5 Twin",4,4
1655-131114,626 Canyon Drive Zephyr Cove NV,6,"1 King, 4 Queen, 1 Twin, 3 Full",3.5,3.5
1655-120948,1797 Pioneer Trail Road South Lake Tahoe CA,6,"1 King, 2 Queen, 4 Twin, 2 Bunk, 2 Full",4,4
1655-125353,3708 Verdon Lane South Lake Tahoe CA,6,"3 King, 2 Queen, 2 Twin, 2 Full",5,5
1655-124342,3689 Spruce Ave South Lake Tahoe CA,6,"2 King, 3 Queen, 2 Twin, 2 Bunk, 4 Other, 2 Full",3,3
1655-117409,458 Kingsbury Grade Stateline NV,6,"3 King, 3 Queen, 4 Twin, 2 Bunk",5,5
1655-120914,2197 Toiyabe Trl South Lake Tahoe CA,6,"3 King, 3 Queen, 4 Twin, 2 Bunk",5,5
1655-114342,1726 Meadow Vale Dr South Lake Tahoe CA,6,"1 King, 5 Queen, 1 Full",4.5,4.5
1655-112907,1788 Pioneer Trail South Lake Tahoe CA,5,"1 Queen, 2 Twin, 2 Bunk, 2 Other, 5 Full",4,4
1655-95629,1900 High Meadow Trail South Lake Tahoe CA,5,"1 King, 3 Queen, 2 Twin, 1 Sofa Bed",3,3
1655-108870,1772 High Meadow Trail South Lake Tahoe CA,5,"1 King, 2 Twin, 1 Sofa Bed, 4 Full",3.5,3.5
1655-104801,2315 Tartan Way South Lake Tahoe CA,5,"2 King, 1 Queen, 3 Twin, 1 Sofa Bed, 1 Other",5,5
1655-116212,163 South Benjamin Stateline NV,5,"3 King, 1 Queen, 3 Twin, 1 Full",5,5
1655-105489,2905 Snowflake Drive South Lake Tahoe CA,5,"4 Queen, 2 Twin, 1 Bunk, 1 Full",4,4
1655-106523,2464 Cougar Trail South Lake Tahoe CA,5,"3 Queen, 3 Twin, 2 Bunk, 1 Full",3,3
1655-99709,3344 Woodland Rd South Lake Tahoe CA,5,"1 King, 5 Queen, 1 Twin, 1 Full",4,4
1655-101946,992 Lakeview Avenue South Lake Tahoe CA,5,"5 Queen, 1 Twin, 2 Sofa Bed, 1 Bunk, 1 Full",4,4
1655-107132,3702 Verdon Lane South Lake Tahoe CA,5,"1 King, 3 Queen, 4 Twin, 2 Bunk",2,2
1655-125676,841 Lakeview Ave South Lake Tahoe CA,5,"2 Queen, 2 Twin, 2 Bunk, 3 Full",5,5
1655-111163,1864 Ibache Street South Lake Tahoe CA,5,"1 King, 4 Queen",2.5,2.5
1655-115298,2291 Deveron Way South Lake Tahoe CA,4,"4 King, 6 Twin, 2 Bunk",3,3
1655-101148,1362 Donner Ln South Lake Tahoe CA,4,"3 Queen, 4 Twin, 1 Bunk, 1 Full",2,2
1655-97168,1323 Keller Road South Lake Tahoe CA,4,"2 King, 1 Queen, 2 Twin, 2 Full",4.5,4.5
1655-127275,2275 Eloise Avenue South Lake Tahoe CA,4,"1 King, 1 Queen, 4 Twin, 2 Full",3,3
1655-115547,1135 Acoma Circle South Lake Tahoe CA,4,"2 King, 2 Queen, 2 Twin, 1 Sofa Bed, 1 Bunk, 1 Other",2.5,2.5
1655-129591,1865 B Street South Lake Tahoe CA,4,"1 King, 4 Twin, 1 Sofa Bed, 2 Full",2.5,2.5
1655-113432,630 Tahoe Island Drive South Lake Tahoe CA,4,"1 King, 1 Queen, 2 Twin, 2 Full",3,3
1655-117850,1881 Brule Street South Lake Tahoe CA,4,"2 King, 1 Queen, 4 Twin, 1 Bunk, 1 Full",2,2
1655-112804,1358 Donner Lane South Lake Tahoe CA,4,"1 King, 1 Queen, 3 Twin, 1 Sofa Bed, 2 Bunk, 2 Full",3,3
1655-125135,1841 Osage Cir South Lake Tahoe CA,4,"1 King, 2 Queen, 1 Sofa Bed, 2 Full",3,3
1655-129642,3042 Sierra Blvd South Lake Tahoe CA,4,"2 King, 2 Queen, 9 Twin, 2 Full",3,3
1655-115281,936 Glorene Avenue South Lake Tahoe CA,4,"2 King, 1 Queen, 3 Bunk",2.5,2.5
1655-127006,1348 Mount Olympia Circle South Lake Tahoe CA,4,"4 Queen, 2 Sofa Bed",3.5,3.5
1655-127770,2285 Eloise Ave South Lake Tahoe CA,4,"1 King, 1 Queen, 4 Twin, 2 Full",3,3
1655-122228,2052 Venice Drive South Lake Tahoe CA,4,"3 King, 1 Queen, 2 Twin, 1 Bunk, 1 Full",2.5,2.5
1655-127905,2277 Eloise South Lake Tahoe CA,4,"1 King, 1 Queen, 4 Twin, 2 Full",3,3
1655-103769,3401 Pine Hill Rd South Lake Tahoe CA,4,"3 Queen, 1 Twin, 2 Sofa Bed",3,3
1655-101146,1843 High Meadow Trail South Lake Tahoe CA,4,"1 King, 1 Queen, 4 Twin, 2 Bunk",3,3
1655-101399,1351 Susie Lake Road South Lake Tahoe CA,4,"2 Queen, 2 Twin, 1 Full",3,3
1655-106537,839 Paloma Avenue South Lake Tahoe CA,4,"1 King, 2 Queen, 2 Twin, 1 Bunk, 1 Other, 1 Full",2,2
1655-107561,2022 Garmish Court South Lake Tahoe CA,4,"1 King, 2 Queen, 4 Twin, 2 Bunk",3,3
1655-98541,1650 Tionontati Drive South Lake Tahoe CA,4,"1 King, 2 Queen, 1 Twin, 2 Sofa Bed",3,3
1655-115101,2297 Del Norte South Lake Tahoe CA,4,"3 Queen, 4 Twin",4,4
1655-110348,647 N. Martin Dr. Zephyr Cove NV,4,"1 King, 3 Queen, 2 Other",3,3
1655-117204,799 Seneca Drive South Lake Tahoe CA,4,"1 King, 1 Queen, 2 Twin, 2 Full",2.5,2.5
1655-116215,165 South Benjamin Stateline NV,4,"2 King, 1 Queen, 2 Twin, 1 Full",4.5,4.5
1655-120285,1120 Charles Ave South Lake Tahoe CA,4,"1 King, 2 Twin, 1 Other, 2 Full",2.5,2.5
1655-107128,4043 Crest Road South Lake Tahoe CA,4,"1 King, 2 Queen, 2 Twin, 2 Other",3.5,3.5
1655-107969,2618 Alma Avenue South Lake Tahoe CA,4,"4 Queen, 4 Twin, 1 Other",2,2
1655-131109,1310 Omalley Drive South Lake Tahoe CA,4,"2 King, 1 Queen, 1 Sofa Bed, 1 Bunk",3.5,3.5
1655-119303,2080 Mewuk South Lake Tahoe CA,4,"3 Queen, 2 Full",2,2
1655-123609,2680 Hank Monk Ave. South Lake Tahoe CA,4,"2 King, 1 Queen, 2 Twin, 1 Full",2,2
1655-124917,1529 Ojibwa Street South Lake Tahoe CA,4,"1 King, 2 Queen, 2 Twin, 1 Sofa Bed",3,3
1655-106595,1145 Gold Dust Trail South Lake Tahoe CA,4,"1 King, 2 Queen, 1 Sofa Bed, 1 Full",3,3
1655-116646,3399 Aloha Road South Lake Tahoe CA,4,"1 King, 2 Queen, 2 Full",2.5,2.5
1655-117707,2580 Rose Ave South Lake Tahoe CA,4,"2 Queen, 1 Bunk",2,2
1655-114396,3669 Saddle Road South Lake Tahoe CA,4,"1 King, 2 Queen, 1 Twin, 1 Bunk, 1 Full",3,3
1655-106496,2072 Mewuk Drive South Lake Tahoe CA,4,"3 Queen, 1 Twin, 1 Bunk, 1 Full",3,3
1655-103771,2316 Del Norte South Lake Tahoe CA,4,"1 King, 2 Queen, 3 Twin",2.5,2.5
1655-107316,3052 Sacramento Ave South Lake Tahoe CA,4,"1 King, 2 Queen, 1 Twin, 1 Full",2,2
1655-111154,2730 Bertha Ave South Lake Tahoe CA,4,"1 King, 3 Queen",2,2
1655-124736,3167 Bellevue Ave South Lake Tahoe CA,4,"1 King, 1 Queen, 4 Twin",2,2
1655-119745,2707 Knox Ave South Lake Tahoe CA,4,"1 King, 1 Queen, 2 Full",1.5,1.5
1655-118040,4030 Azure Ave South Lake Tahoe CA,4,"2 Queen, 4 Twin",2,2
1655-119237,815 Tallac Avenue South Lake Tahoe CA,4,"1 King, 2 Twin, 2 Full",2.5,2.5
1655-108746,737 Los Angeles South Lake Tahoe CA,4,"3 Queen, 2 Twin, 1 Bunk, 1 Full",2.5,2.5
1655-125695,2163 Venice Dr South Lake Tahoe CA,4,"1 King, 2 Queen, 2 Twin",2,2
1655-117815,1334 Pine Valley Rd South Lake Tahoe CA,3,"1 King, 1 Queen, 4 Twin, 2 Bunk, 2 Full",3.5,3.5
1655-101207,1364 Donner Lane South Lake Tahoe CA,3,"4 Queen, 2 Twin",2,2
1655-101265,2191 Marshall Trail South Lake Tahoe CA,3,"1 King, 3 Twin, 1 Sofa Bed, 1 Bunk, 1 Full",2.5,2.5
1655-96732,1953 N. Upper Truckee Rd. South Lake Tahoe CA,3,"2 King, 4 Twin",2,2
1655-96735,422 Emerald Dr. South Lake Tahoe CA,3,{},2,2
1655-101884,1406 Keller Rd. South Lake Tahoe CA,3,"1 King, 3 Queen, 1 Sofa Bed, 2 Other",2,2
1655-101651,1110 Lindberg Avenue South Lake Tahoe CA,3,"1 King, 4 Twin, 1 Full",2,2
1655-102495,2031 Venice Drive #315 South Lake Tahoe CA,3,"1 King, 1 Queen, 2 Twin, 2 Bunk, 2 Full",3,3
1655-107314,"1302 Cave Rock Drive, #A Glenbrook NV",3,"1 King, 1 Queen, 4 Twin, 1 Sofa Bed",3,3
1655-108094,1632 Plateau Circle South Lake Tahoe CA,3,"2 Queen, 1 Twin, 1 Sofa Bed, 1 Bunk, 2 Full",2,2
1655-109823,1524 Miztec St South Lake Tahoe CA,3,"1 King, 2 Queen, 4 Twin, 2 Bunk",2.5,2.5
1655-125840,2040 West Way South Lake Tahoe CA,3,"1 Queen, 2 Twin, 2 Full",2,2
1655-122420,1135 Fairway Ave South Lake Tahoe CA,3,"1 King, 1 Queen, 1 Sofa Bed, 2 Bunk",2,2
1655-118087,1186 Apache Ave South Lake Tahoe CA,3,"2 Queen, 2 Twin, 2 Bunk, 2 Full",2,2
1655-122203,1276 Heather Lake Road South Lake Tahoe CA,3,"1 King, 2 Queen, 2 Twin, 1 Other",2.5,2.5
1655-97793,3339 Becka Drive South Lake Tahoe CA,3,"1 King, 2 Queen, 1 Twin, 1 Sofa Bed, 1 Bunk",2.5,2.5
1655-107317,3050 Jacarillo Trail South Lake Tahoe CA,3,"2 Queen, 3 Twin, 1 Full",3,3
1655-111106,3290 Pine Hill Road South Lake Tahoe CA,3,"1 King, 1 Queen, 1 Twin, 1 Sofa Bed, 1 Bunk, 1 Full",2.5,2.5
1655-131044,1140 View Circle South Lake Tahoe CA,3,"2 Queen, 1 Twin, 1 Full",3,3
1655-104690,2331 Sky Meadows Court South Lake Tahoe CA,3,"2 Queen, 2 Twin, 1 Sofa Bed",2,2
1655-100809,1988 Marconi Way South Lake Tahoe CA,3,"1 King, 2 Twin, 2 Sofa Bed, 1 Full",2,2
1655-103248,3402 Bruce Dr South Lake Tahoe CA,3,"2 Queen, 2 Twin, 1 Sofa Bed",2,2
1655-106378,2071 Venice Drive #295 South Lake Tahoe CA,3,4 Queen,2,2
1655-99935,357 Ala Wai Blvd #215 South Lake Tahoe CA,3,"1 King, 2 Queen, 2 Bunk",2,2
1655-96172,1946 Marconi Way South Lake Tahoe CA,3,"1 King, 2 Queen, 2 Twin, 1 Bunk",3,3
1655-114996,1116 Mulberry Drive South Lake Tahoe CA,3,"1 Queen, 2 Other, 3 Full",2,2
1655-101210,820 Taylor Way South Lake Tahoe CA,3,"1 Queen, 1 Twin, 1 Other, 3 Full",1.5,1.5
1655-125773,1150 Glenwood South Lake Tahoe CA,3,"1 King, 1 Queen, 1 Twin, 1 Other, 1 Full",2,2
1655-114465,778 Hazel Drive South Lake Tahoe CA,3,"3 Queen, 2 Full",2,2
1655-125985,1928 Nez Perce Dr. South Lake Tahoe CA,3,"1 King, 1 Queen, 2 Twin, 1 Bunk",2,2
1655-107450,1121 Wildwood Avenue South Lake Tahoe CA,3,"1 Twin, 1 Bunk, 4 Full",1,1
1655-123845,1334 Mount Olympia Cir South Lake Tahoe CA,3,"1 King, 1 Queen, 2 Bunk",2,2
1655-111117,1317 Gilmore Lake Rd. South Lake Tahoe CA,3,"1 King, 1 Queen, 3 Twin, 1 Sofa Bed, 2 Bunk, 1 Full",2,2
1655-125683,1262 Pine Valley Rd South Lake Tahoe CA,3,"2 Queen, 2 Twin, 1 Full",2,2
1655-127348,1889 ARROWHEAD AVE SOUTH LAKE TAHOE CA,3,"1 King, 1 Queen, 2 Twin, 1 Full",2,2
1655-115970,799 Modesto Ave South Lake Tahoe CA,3,"1 King, 2 Queen, 1 Twin",2.5,2.5
1655-107957,1425 Iroquois Circle South Lake Tahoe CA,3,"1 King, 1 Queen, 1 Twin, 1 Sofa Bed, 1 Bunk, 1 Full",2,2
1655-118041,1251 Golden Bear Trail South Lake Tahoe CA,3,"1 King, 1 Queen, 2 Twin, 1 Bunk, 1 Full",2,2
1655-125688,1523 Miztec South Lake Tahoe CA,3,"2 Queen, 1 Bunk, 1 Other",2,2
1655-102093,765 Merced Ave. South Lake Tahoe CA,3,"1 Queen, 1 Twin, 1 Full",2,2
1655-101785,2930 Pinewood Dr. South Lake Tahoe CA,3,"2 Queen, 1 Twin, 1 Full",2,2
1655-131997,2081 Venice Drive #289 South Lake Tahoe CA,3,"1 King, 1 Queen, 2 Twin",2,2
1655-102471,3705 Regina Road South Lake Tahoe CA,3,"1 King, 1 Queen, 1 Other, 1 Full",2,2
1655-103634,2071 Venice Dr #296 South Lake Tahoe CA,3,"1 King, 1 Queen, 2 Twin, 1 Sofa Bed",2,2
1655-115662,1168 Sierra Blvd. South Lake Tahoe CA,3,"2 Queen, 2 Twin",2,2
1655-117256,454 Kingsbury Grade Stateline NV,3,"1 King, 1 Queen, 1 Bunk",2,2
1655-114393,"2071 Venice, #301 South Lake Tahoe CA",3,"2 Queen, 2 Twin",2,2
1655-123907,1879 Bella Coola Dr South Lake Tahoe CA,3,"2 Queen, 2 Twin",2.5,2.5
1655-106296,106 Gold Hill Zephyr Cove NV,3,"1 King, 1 Queen, 2 Twin",1.5,1.5
1655-103249,854 Pomo St South Lake Tahoe CA,2,"2 Twin, 3 Full",1,1
1655-116767,2333 Sky Meadows Ct South Lake Tahoe CA,2,"2 Queen, 2 Twin, 1 Bunk",2,2
1655-107304,1502 Ojibwa Street South Lake Tahoe CA,2,"2 Queen, 2 Twin, 2 Sofa Bed, 1 Bunk",1,1
1655-126274,3535 Lake Tahoe Blvd #443 South Lake Tahoe CA,2,"1 King, 2 Queen, 1 Twin, 1 Full",1.5,1.5
1655-116226,"1439 Ski Run, B2 South Lake Tahoe CA",2,"1 King, 1 Queen, 3 Twin, 1 Bunk, 1 Full",2,2
1655-101852,1390 Ski Run Boulevard #11 South Lake Tahoe CA,2,"1 Queen, 3 Twin, 1 Full",2,2
1655-101394,357 Ala Wai Blvd #222 South Lake Tahoe CA,2,"1 King, 2 Full",2,2
1655-98154,3988 Manzanita Ave South Lake Tahoe CA,2,"2 Queen, 2 Twin, 1 Full",1.5,1.5
1655-106112,3712 Aspen Ave South Lake Tahoe CA,2,"1 Queen, 2 Twin, 1 Other",2,2
1655-117408,1439 Ski Run Blvd. B1 South Lake Tahoe CA,2,"1 King, 1 Queen, 1 Sofa Bed",1.5,1.5
1655-117214,897 Lakeview Ave South Lake Tahoe CA,2,3 Queen,2,2
1655-125694,439 Ala Wai Blvd #111 South Lake Tahoe CA,2,"1 King, 2 Twin",2,2
1655-100893,3836 Private Road South Lake Tahoe CA,2,"1 Queen, 1 Full",1,1
1655-131697,759 Boulder Ct Unit K Stateline NV,2,2 Queen,2,2
1655-131023,1410 Ski Run #29 South Lake Tahoe CA,2,"1 Queen, 1 Bunk",1.5,1.5
1655-104675,1100 Wildwood Avenue South Lake Tahoe CA,2,2 Queen,1,1
1655-119588,1550 Tionontati Street South Lake Tahoe CA,2,2 Queen,1,1
1655-122461,3769 Paradise Ave South Lake Tahoe CA,2,2 Queen,1.5,1.5
1655-127868,1410 Ski Run Blvd #1 South Lake Tahoe CA,2,"1 King, 1 Full",1.5,1.5
1655-116777,2274 Sky Meadows Ct South Lake Tahoe CA,1,"1 Queen, 1 Sofa Bed",1,1
1655-131062,759 Boulder Ct Unit J Stateline NV,1,"1 Queen, 1 Other",2,2
1655-123619,3793 Pioneer Trail South Lake Tahoe CA,1,"2 Queen, 2 Twin",1,1
